,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
4146,2016-08-23,HDFC,EQ,1377.55,1373.65,1380.0,1362.25,1379.05,1375.15,1369.05,1766716,241872956630000.03,68761.0,1377953.0,0.78
4147,2016-08-24,HDFC,EQ,1375.15,1386.3,1386.8,1366.25,1383.7,1382.85,1374.27,1692693,232620932905000.03,72856.0,1248431.0,0.7375
4148,2016-08-25,HDFC,EQ,1382.85,1380.65,1390.0,1352.3,1355.3,1357.5,1367.03,1846727,252452778885000.0,50002.0,1203576.0,0.6517000000000001
4149,2016-08-26,HDFC,EQ,1357.5,1361.5,1371.15,1349.0,1362.55,1366.35,1357.11,1478521,200651278445000.0,71065.0,986327.0,0.6670999999999999
4150,2016-08-29,HDFC,EQ,1366.35,1364.9,1379.5,1357.65,1375.7,1375.5,1373.12,1371236,188286752335000.0,97362.0,1008055.0,0.7351000000000001
4151,2016-08-30,HDFC,EQ,1375.5,1379.9,1394.25,1373.6,1390.5,1392.1,1385.04,2039705,282507490550000.0,85039.0,1559152.0,0.7644
4152,2016-08-31,HDFC,EQ,1392.1,1390.1,1414.0,1390.0,1409.85,1405.45,1402.51,5712564,801194972005000.0,140586.0,4246344.0,0.7433
4153,2016-09-01,HDFC,EQ,1405.45,1412.0,1430.0,1405.3,1425.9,1424.75,1419.4,2336511,331643635280000.0,109988.0,1714755.0,0.7339
4154,2016-09-02,HDFC,EQ,1424.75,1426.5,1441.95,1421.05,1439.35,1439.15,1436.32,2435712,349845622470000.0,91643.0,1659031.0,0.6811
4155,2016-09-06,HDFC,EQ,1439.15,1453.0,1462.0,1442.0,1460.0,1458.05,1452.15,2249067,326598185515000.0,62412.0,1772356.0,0.788
4156,2016-09-07,HDFC,EQ,1458.05,1464.0,1464.0,1416.25,1433.25,1427.15,1430.79,2282112,326522848785000.0,81247.0,1699166.0,0.7445999999999999
4157,2016-09-08,HDFC,EQ,1427.15,1432.75,1442.8,1428.1,1437.0,1437.8,1435.55,1135659,163029115750000.0,88538.0,811200.0,0.7143
